epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
88,6175.74,0.7921,1.12385,2.13107,0.9168,0,0.89471,0.8787,0.90406,0.77843,0.89124,0.86822,0.89289,0.67879,0.87175,1.2899,2.37924,0.97612,0,0.00056935,0.00056935,0.00056935
89,6244.01,0.78262,1.09568,2.10882,0.91519,0,0.85302,0.85113,0.86517,0.74596,0.84006,0.8369,0.85042,0.65113,0.87055,1.28316,2.48343,0.98095,0,0.0005644,0.0005644,0.0005644
90,6313.71,0.78256,1.09326,2.09259,0.91252,0,0.87156,0.85839,0.88853,0.77166,0.86152,0.83453,0.87085,0.66206,0.85828,1.21709,2.40007,0.97193,0,0.00055945,0.00055945,0.00055945
91,6383.85,0.78648,1.09409,2.07985,0.91407,0,0.87813,0.86105,0.8977,0.77503,0.86992,0.84802,0.88063,0.67533,0.88816,1.30645,2.43497,0.9825,0,0.0005545,0.0005545,0.0005545
92,6456.51,0.77738,1.09824,2.0707,0.91241,0,0.88116,0.86362,0.90538,0.76503,0.87073,0.84993,0.89035,0.67378,0.91228,1.34151,2.45676,0.99319,0,0.00054955,0.00054955,0.00054955
93,6525.31,0.76834,1.07279,2.05919,0.90565,0,0.86764,0.87811,0.90059,0.7639,0.85301,0.85572,0.88027,0.66885,0.92347,1.37182,2.44832,0.99465,0,0.0005446,0.0005446,0.0005446
94,6596.78,0.78312,1.08947,2.079,0.91129,0,0.87437,0.87149,0.90532,0.77177,0.85638,0.85125,0.88272,0.67089,0.94248,1.34047,2.51493,1.01307,0,0.00053965,0.00053965,0.00053965
95,6668.2,0.77806,1.09367,2.08982,0.91254,0,0.84934,0.87792,0.898,0.7699,0.85422,0.85082,0.88433,0.66395,0.90424,1.31899,2.4057,0.98486,0,0.0005347,0.0005347,0.0005347
96,6741.13,0.77954,1.09796,2.08093,0.91014,0,0.88578,0.86992,0.90295,0.7648,0.88149,0.8539,0.89015,0.67657,0.91398,1.43799,2.38522,0.99761,0,0.00052975,0.00052975,0.00052975
97,6810.5,0.769,1.09515,2.03069,0.90858,0,0.85311,0.89818,0.89983,0.76521,0.84269,0.86821,0.88181,0.67255,0.89939,1.33559,2.33352,0.98111,0,0.0005248,0.0005248,0.0005248
98,6881.99,0.76038,1.0605,2.02316,0.90497,0,0.85035,0.85875,0.89066,0.76125,0.85079,0.82299,0.86788,0.66196,0.88836,1.28154,2.44034,0.97617,0,0.00051985,0.00051985,0.00051985
99,6951.32,0.75661,1.07611,2.00387,0.90194,0,0.87381,0.89093,0.89531,0.77146,0.8642,0.8747,0.88526,0.6762,0.87901,1.2849,2.36638,0.97627,0,0.0005149,0.0005149,0.0005149
100,7022.15,0.7579,1.04906,2.01261,0.90937,0,0.88584,0.88434,0.9062,0.77652,0.87689,0.85595,0.883,0.66989,0.89466,1.39458,2.3845,0.98907,0,0.00050995,0.00050995,0.00050995
